0	395
1	397
2	398
3	395
4	395
5	397
6	398
7	395
8	395
9	397
10	398
11	395
12	395
13	397
14	398
15	395
16	395
17	397
18	398
19	395
20	395
21	397
22	398
23	395
24	395
25	397
26	398
27	395
28	395
29	397
30	398
31	395
32	395
33	397
34	398
35	395
36	395
37	397
38	398
39	395
40	395
41	397
42	398
43	395
44	395
45	397
46	398
47	395
48	395
49	397
50	398
51	395
52	395
53	397
54	398
55	395
56	395
57	397
58	398
59	395
60	395
61	397
62	398
63	395
64	395
65	397
66	398
67	395
68	395
69	397
70	398
71	395
72	395
73	397
74	398
75	395
76	395
77	397
78	398
79	395
80	395
81	397
82	398
83	395
84	395
85	397
86	398
87	395
88	395
89	397
90	398
91	395
92	395
93	397
94	398
95	395
96	395
97	397
98	398
99	395
100	395
101	397
102	398
103	395
104	395
105	397
106	398
107	395
108	395
109	397
110	398
111	395
112	395
113	397
114	398
115	395
116	395
117	397
118	398
119	395
120	395
121	397
122	398
123	395
124	395
125	397
126	398
127	395
128	395
129	397
130	398
131	395
132	395
133	397
134	398
135	395
136	395
137	397
138	398
139	395
140	395
141	397
142	398
143	395
144	395
145	397
146	398
147	395
148	395
149	397
150	398
151	395
152	395
153	397
154	398
155	395
156	395
157	397
158	398
159	395
160	395
161	397
162	398
163	395
164	395
165	397
166	398
167	395
168	395
169	397
170	398
171	395
172	395
173	397
174	398
175	395
176	395
177	397
178	398
179	395
180	395
181	397
182	398
183	395
184	395
185	397
186	398
187	395
188	395
189	397
190	398
191	395
192	395
193	397
194	398
195	395
196	395
197	397
198	398
199	395
200	395
201	397
202	398
203	395
204	395
205	397
206	398
207	395
208	395
209	397
210	398
211	395
212	395
213	397
214	398
215	395
216	395
217	397
218	398
219	395
220	395
221	397
222	398
223	395
224	395
225	397
226	398
227	395
228	395
229	397
230	398
231	395
232	395
233	397
234	398
235	395
236	395
237	397
238	398
239	395
240	395
241	397
242	398
243	395
244	395
245	397
246	398
247	395
248	395
249	397
250	398
251	395
252	395
253	397
254	398
255	395
256	395
257	397
258	398
259	395
260	395
261	397
262	398
263	395
264	395
265	397
266	398
267	395
268	395
269	397
270	398
271	395
272	395
273	397
274	398
275	395
276	395
277	397
278	398
279	395
280	395
281	397
282	398
283	395
284	395
285	397
286	398
287	395
288	395
289	397
290	398
291	395
292	395
293	397
294	398
295	395
296	395
297	397
298	398
299	395
300	395
301	397
302	398
303	395
304	395
305	397
306	398
307	395
308	395
309	397
310	398
311	395
312	395
313	397
314	398
315	395
316	395
317	397
318	398
319	395
320	395
321	397
322	398
323	395
324	395
325	397
326	398
327	395
328	395
329	397
330	398
331	395
332	395
333	397
334	398
335	395
336	395
337	397
338	398
339	395
340	395
341	397
342	398
343	395
344	395
345	397
346	398
347	395
348	395
349	397
350	398
351	395
352	395
353	397
354	398
355	395
356	395
357	397
358	398
359	395
360	397
361	397
362	398
363	395
364	395
365	397
366	398
367	395
368	395
369	397
370	398
371	395
372	395
373	397
374	398
375	395
376	395
377	397
378	398
379	395
380	395
381	397
382	398
383	395
384	396
385	397
386	398
387	395
388	395
389	397
390	398
391	395
392	396
393	397
394	394
395	395
396	396
397	397
398	398
399	399
